Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),tamp pos (settimana di riferimento),tamp tot (settimana di riferimento),2.1 (settimana precedente),tamp pos (settimana precedente),tamp tot (settimana precedente),2.2,2.3,2.4,2.4 (valore),2.5,2.5 (valore),Tot RU,Tot RU (valore),2.6,casi con indagine,casi tot,Mese di riferimento,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,Focolai attivi,Focolai attivi settimana precedente,3.5 (nuovi focolai),3.6,3.8,3.9,% prob occ TI > 30%,% prob occ AM > 40%,Probabilità,Impatto,Classificazione Rischio,Note
Abruzzo,43.5,32.2,100,100,96.5,15.5%,1877,12100,10.1%,1140,11276,2,ND,0.3,39.5,0.5,71.8,0.9,111.3,100.0%,634,634,settembre,No,64.8,1.13,0.99,1.27,67.8,187,175,109,1443,11%,22%,>50%,>50%,Non valutabile,Bassa,Non valutabile (equiparato a Rischio Alto) con probabilità alta di progressione,
Basilicata,93.3,7.2,100,ND,98.4,5.4%,329,6124,4.2%,227,5409,1,ND,1,54,4.7,260,5.6,314,100.0%,122,122,ottobre,No,85.9,0.83,0.43,1.33,58.8,47,39,19,15,5%,13%,<5%,<5%,Non valutabile,Bassa,Non valutabile (equiparato a Rischio Alto),
Calabria,64,65.8,100,100,98.1,3.5%,591,16823,2.9%,470,16116,3,3,0.2,47,0.5,104,0.8,151,96.4%,3653,3790,ottobre,Si,118.9,1.84,1.56,2.19,1.9,36,31,20,137,5%,11%,>50%,>50%,Alta (trasmissione non gestibile),Bassa,Alta con alta probabilità di progressione (molteplici allerte di resilienza),
Campania,91.8,63.9,99.7,100,81.6,10.5%,7310,69423,8.0%,5092,63510,3,ND,0.4,236,0.7,420,1.1,656,100.0%,5860,5860,settembre,No,75.5,1.29,1.2,1.37,44.4,154,133,97,642,14%,26%,5-50%,>50%,Moderata,Bassa,Moderata con probabilità alta di progressione,Le proiezioni di fabbisiogno di posti a 30 giorni non sono attendibili in quanto il dato sui casi ospedalizzati nella settimana di monitoraggio riportato al Sistema di Sorveglianza Integrato è in via di consolidamento e parziale rispetto a quanto riportato al sistema di Sorveglianza su dati aggregati coordinato dal Ministero della Salute
Emilia-Romagna,100,100,100,100,98.9,13.8%,6378,46202,9.3%,3596,38658,3,ND,0.5,243,1.1,489,1.6,732,100.0%,4177,4177,ottobre,No,84.9,1.6,1.53,1.66,29.3,804,665,104,3648,15%,15%,>50%,>50%,Moderata,Bassa,Moderata con probabilità alta di progressione,
Friuli-Venezia Giulia,81.7,92.7,100,100,99.9,14.2%,1348,9494,9.2%,837,9124,4,3,0.5,63.3,0.9,103.1,1.4,166.4,100.0%,1320,1320,ottobre,No,93.6,1.47,1.34,1.6,133,374,293,165,771,9%,6%,>50%,>50%,Moderata,Bassa,Moderata con probabilità alta di progressione,
Lazio,93.6,91.9,99.8,100,92.3,18.0%,10855,60332,12.4%,6861,55181,3,1,0.9,505,1,565,1.8,1070,9.8%,1899,19461,ottobre,No,81.4,1.43,1.38,1.48,26.7,420,246,175,152,17%,27%,>50%,>50%,Moderata,Bassa,Moderata con probabilità alta di progressione,
Liguria,73.7,49.4,99.9,100,96,16.6%,5027,30364,12.0%,3162,26356,3,ND,0.5,78.2,1.3,198.5,1.8,276.7,44.5%,4510,10140,ottobre,No,73.4,1.35,1.29,1.43,82.9,966,46,920,200,17%,30%,>50%,>50%,Non valutabile,Bassa,Non valutabile (equiparato a Rischio Alto) con probabilità alta di progressione,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1). Le proiezioni di fabbisiogno di posti a 30 giorni non sono attendibili in quanto il dato sui casi ospedalizzati nella settimana di monitoraggio riportato al Sistema di Sorveglianza Integrato è in via di consolidamento e parziale rispetto a quanto riportato al sistema di Sorveglianza su dati aggregati coordinato dal Ministero della Salute
Lombardia,48.8,64.7,99.9,100,97.2,21.9%,28018,128156,12.5%,13446,107930,3,ND,0.8,787,1.3,1279,2,2066,52.6%,26265,49939,ottobre,No,100.8,2.01,1.95,2.05,81.1,1239,1503,737,18568,16%,19%,>50%,>50%,Moderata,Bassa,Alta con alta probabilità di progressione (molteplici allerte di resilienza),
Marche,96.6,67.2,100,100,99.8,17.0%,2059,12144,9.3%,827,8852,5.5,2,0.4,68,1.1,167,1.5,235,100.0%,7901,7901,settembre,No,129.1,1.35,1.2,1.5,117.8,301,86,258,878,16%,15%,<5%,<5%,Moderata,Bassa,Moderata con probabilità di progressione non valutabile,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1). Le proiezioni di fabbisiogno di posti a 30 giorni non sono attendibili in quanto il dato sui casi ospedalizzati nella settimana di monitoraggio riportato al Sistema di Sorveglianza Integrato è in via di consolidamento e parziale rispetto a quanto riportato al sistema di Sorveglianza su dati aggregati coordinato dal Ministero della Salute
Molise,85.9,98.1,100,100,100,18.8%,224,1191,28.1%,207,736,2,2,0.3,10,2.1,62,2.4,72,100.0%,22,22,settembre,No,20.7,2.1,1.44,2.78,58.6,31,15,19,9,3%,8%,>50%,>50%,Moderata,Bassa,Moderata con alta probabilità di progressione,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1).
Piemonte,63.4,68.6,99.9,99.4,98.3,17.2%,11554,67013,9.6%,5855,61227,5,2,0.6,239,1.3,548,1.8,787,86.9%,5088,5855,ottobre,No,110.4,1.99,1.92,2.06,79.8,2150,961,1457,2012,13%,25%,>50%,>50%,Moderata,Bassa,Alta con alta probabilità di progressione (molteplici allerte di resilienza),
Provincia Autonoma di Bolzano/Bozen,96.3,92.5,100,100,94.8,20.7%,1609,7758,13.2%,755,5705,3,4,0.9,49,1.4,74,2.3,123,100.0%,1623,1623,ottobre,No,113.9,1.92,1.74,2.09,99,94,57,83,201,16%,21%,>50%,>50%,Moderata,Bassa,Moderata con alta probabilità di progressione,
Provincia Autonoma di Trento,88.6,100,100,100,89.2,17.7%,845,4761,8.1%,324,4004,4,ND,1.1,58,1.6,87,2.7,145,100.0%,1865,1865,ottobre,No,161.6,1.56,1.41,1.73,73.1,111,144,11,492,4%,7%,>50%,>50%,Moderata,Bassa,Moderata con alta probabilità di progressione,
Puglia,93,92.5,99.9,100,99.8,21.3%,3091,14527,14.4%,1838,12805,3,2,0.4,167,0.9,367,1.3,534,74.2%,1808,2437,settembre,No,68.8,1.47,1.37,1.57,75,117,91,80,2243,13%,21%,>50%,>50%,Moderata,Bassa,Alta con alta probabilità di progressione (molteplici allerte di resilienza),
Sardegna,83.1,73.1,100,100,99.5,9.5%,2056,21754,6.8%,1368,19985,4,5,0.4,57.5,1.3,207.2,1.6,264.7,98.5%,2109,2141,ottobre,No,53,1.04,0.93,1.15,-20.3,315,229,133,166,20%,18%,<5%,<5%,Moderata,Bassa,Moderata,
Sicilia,85.2,81.8,99.9,100,98.6,7.9%,3182,40475,6.3%,2354,37555,2,ND,0.3,140,0.8,422,1.1,562,100.0%,1920,1920,settembre,No,53.6,1.38,1.3,1.45,12,504,341,218,1906,15%,19%,>50%,>50%,Alta,Bassa,Alta con alta probabilità di progressione (molteplici allerte di resilienza),
Toscana,93.9,93.5,99.8,100,99.8,12.9%,6894,53449,8.5%,4052,47567,3,2,0.5,198,0.9,344,1.5,542,39.9%,9685,24295,ottobre,No,82.9,1.19,1.13,1.25,-32.7,1097,692,122,8854,18%,17%,<5%,<5%,Moderata,Bassa,Alta (molteplici allerte di resilienza) con probabilità di progressione non valutabile,Le proiezioni di fabbisiogno di posti a 30 giorni non sono attendibili in quanto il dato sui casi ospedalizzati nella settimana di monitoraggio riportato al Sistema di Sorveglianza Integrato è in via di consolidamento e parziale rispetto a quanto riportato al sistema di Sorveglianza su dati aggregati coordinato dal Ministero della Salute
Umbria,93.5,62.4,100,100,99.1,20.2%,1134,5621,14.1%,739,5256,3,3,0.7,64,2,172,2.7,236,100.0%,309,309,settembre,No,80,1.45,1.34,1.56,79.1,283,174,95,2106,25%,26%,>50%,5-50%,Moderata,Bassa,Moderata con alta probabilità di progressione,Le proiezioni di fabbisiogno di posti a 30 giorni non sono attendibili in quanto il dato sui casi ospedalizzati nella settimana di monitoraggio riportato al Sistema di Sorveglianza Integrato è in via di consolidamento e parziale rispetto a quanto riportato al sistema di Sorveglianza su dati aggregati coordinato dal Ministero della Salute
Valle d'Aosta/Vallée d'Aoste,47.3,19.2,100,100,98.4,22.6%,931,4118,24.5%,407,1658,4.5,ND,0.6,8,1.5,16,1.9,24,74.5%,527,707,ottobre,No,105.8,0.92,0.73,1.14,62.7,101,39,82,379,17%,59%,<5%,<5%,Non valutabile,Moderata,Non valutabile da oltre 3 settimane (equiparato a Rischio Alto) con Probabiltà di progressione non valutabile,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1). Le proiezioni di fabbisiogno di posti a 30 giorni non sono attendibili in quanto il dato sui casi ospedalizzati nella settimana di monitoraggio riportato al Sistema di Sorveglianza Integrato è in via di consolidamento e parziale rispetto a quanto riportato al sistema di Sorveglianza su dati aggregati coordinato dal Ministero della Salute
Veneto,39.9,44.6,100,100,99.6,21.3%,6789,31919,12.3%,3151,25680,2,3,1,500,1.8,890,2.8,1390,74.7%,13870,18559,ottobre,No,95.2,1.47,1.4,1.53,86,3347,1665,1716,4689,7%,10%,<5%,<5%,Non valutabile,Bassa,Non valutabile (equiparato a Rischio Alto),Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1).
