Regione,1.1 (settimana precedente),1.1 (settimana di riferimento),1.2,1.3,1.4,2.1 (settimana di riferimento),tamp pos (settimana di riferimento),tamp tot (settimana di riferimento),2.1 (settimana precedente),tamp pos (settimana precedente),tamp tot (settimana precedente),2.2,2.3,2.4,2.4 (valore),2.5,2.5 (valore),Tot RU,Tot RU (valore),2.6,casi con indagine,casi tot,Mese di riferimento,Trasmissione non gestibile,3.1,3.2 (MED),3.2 (CI INF),3.2 (CI SUP),3.4,Focolai attivi,Focolai attivi settimana precedente,3.5 (nuovi focolai),3.6,3.8,3.9,% prob occ TI > 30%,% prob occ AM > 40%,Probabilità,Impatto,Classificazione Rischio,Classificazione Alta e/o equiparata ad Alta per 3 o più settimane consecutive,Note
Abruzzo,32.2,91.9,100,100,98.3,23.4%,2975,12733,15.5%,1877,12100,2,2,0.4,49.5,0.6,78.8,1,128.3,89.9%,5362,5963,ottobre,No,58.6,1.51,1.41,1.62,41.9,438,272,261,3349,18%,30%,più di 50%,più di 50%,Moderata,Bassa,Alta (molteplici allerte di resilienza),Sì,
Basilicata,7.2,56.3,100,100,99.4,6.7%,653,9783,5.4%,329,6124,2,0,1,54,4.7,260,5.6,314,100.0%,122,122,ottobre,No,54.7,1.73,1.4,2.05,89.6,43,47,20,152,12%,18%,più di 50%,più di 50%,Non valutabile,Bassa,Non valutabile (equiparato a Rischio Alto),No,Il dato di Rt è verosimilmente sottostimato (vedi indicatore 1.1).
Calabria,65.8,64.6,100,100,93.1,8.7%,1520,17455,3.5%,591,16823,2,2,0.2,47,0.5,104,0.8,151,96.4%,3653,3790,ottobre,No,47.7,1.41,1.23,1.61,74.4,75,36,49,234,6%,16%,più di 50%,più di 50%,Moderata,Bassa,Alta (molteplici allerte di resilienza),Sì,
Campania,63.9,97.7,99.9,100,99.6,18.1%,19871,109502,10.5%,7310,69423,1,Non calcolabile,0.4,ND,0.7,ND,1.1,ND,96.6%,50261,52031,ottobre,No,64,1.64,1.57,1.72,42,498,154,317,1101,23%,31%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Emilia-Romagna,100,100,100,100,98.9,8.4%,9216,109502,14.6%,6738,46202,3,Non calcolabile,0.5,243,1.1,489,1.6,732,100.0%,4177,4177,ottobre,No,84.9,1.57,1.52,1.62,38.2,879,804,88,6126,20%,23%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Friuli-Venezia Giulia,92.7,81.3,100,100,99.6,23.6%,2291,9696,14.2%,1348,9494,2,3,0.5,63.3,0.9,103.1,1.4,166.4,100.0%,1320,1320,ottobre,No,76.6,1.6,1.51,1.69,34.8,508,374,243,930,19%,10%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Lazio,91.9,92.2,100,100,88.2,17.8%,13864,77862,18.0%,10855,60332,4,2,0.9,505,1,565,1.8,1070,97.6%,18993,19461,ottobre,No,57.1,1.2,1.16,1.24,82.6,455,420,238,417,20%,34%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
Liguria,49.4,65.5,99.8,100,96.5,18.0%,5764,32094,16.6%,5027,30364,3,Non calcolabile,0.5,78.2,1.3,198.5,1.8,276.7,44.5%,4510,10140,ottobre,Si,27.5,1.37,1.31,1.42,28.4,1374,966,408,322,25%,49%,più di 50%,più di 50%,Alta (segnalata trasmissione non gestibile in modo efficace con misure locali),Alta (sovraccarico in aree mediche ed evidenza di nuovi focolai in RSA/case di riposo/ospedali),Alta,Sì,
Lombardia,64.7,70.6,99.9,100,97.4,32.0%,44934,140250,21.9%,28018,128156,3,Non calcolabile,0.6,584,0.9,875,1.4,1459,60.6%,59429,98006,ottobre,No,81.2,1.99,1.97,2.02,47.3,2641,1239,1499,29855,32%,31%,più di 50%,più di 50%,Moderata,Alta (sovraccarico in aree mediche ed evidenza di nuovi focolai in RSA/case di riposo/ospedali),Alta,Sì,
Marche,67.2,99.9,100,100,99.9,26.0%,3439,13225,17.0%,2059,12144,3,1,0.5,ND,1.1,ND,1.6,ND,100.0%,13619,13619,ottobre,No,69.7,1.01,0.91,1.11,67,461,301,218,1790,23%,26%,più di 50%,più di 50%,Moderata,Bassa,Moderata con probabilità alta di progressione a rischio Alto,No,
